,brand,model,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_number,title
678,Hyundai,GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,Automatic,2019.0,Petrol,1197.0,23115.0,1st owner,607000,11861.0,True,Yes,DL8C,2019 Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT
679,KIA,SELTOS HTK PLUS 1.5 IMT,Manual,2022.0,Petrol,1497.0,29134.0,1st owner,1222000,23260.0,True,Yes,UP16,2022 KIA SELTOS HTK PLUS 1.5 IMT
680,Maruti,Baleno ZETA CVT PETROL 1.2,Automatic,2016.0,Petrol,1197.0,89112.0,1st owner,475000,9289.0,True,Yes,DL12,2016 Maruti Baleno ZETA CVT PETROL 1.2
681,Maruti,IGNIS ZETA 1.2 AMT,Automatic,2022.0,Petrol,1197.0,20115.0,1st owner,625000,12215.0,True,Yes,UP16,2022 Maruti IGNIS ZETA 1.2 AMT
682,Mahindra,XUV700 AX 3 D AT 5 STR,Automatic,2022.0,Diesel,2184.0,26005.0,1st owner,1593000,30326.0,True,No,UP16,2022 Mahindra XUV700 AX 3 D AT 5 STR
683,Honda,BR-V 1.5L I-VTEC S,Manual,2018.0,Petrol,1497.0,35709.0,1st owner,721000,14087.0,True,Yes,UP16,2018 Honda BR-V 1.5L I-VTEC S
684,Ford,Ecosport TITANIUM 1.5L DIESEL,Manual,2021.0,Diesel,1498.0,70310.0,1st owner,831000,15822.0,True,Yes,UP14,2021 Ford Ecosport TITANIUM 1.5L DIESEL
685,Maruti,Swift ZXI PLUS,Manual,2018.0,Petrol,1197.0,73844.0,2nd owner,537000,10489.0,True,No,HR51,2018 Maruti Swift ZXI PLUS
686,Hyundai,Elite i20 SPORTZ 1.2,Manual,2015.0,Petrol,1197.0,54932.0,1st owner,455000,8888.0,True,No,HR26,2015 Hyundai Elite i20 SPORTZ 1.2
687,Honda,Amaze 1.2L I-VTEC S,Manual,2017.0,Petrol,1198.0,45651.0,2nd owner,424000,8287.0,True,No,HR51,2017 Honda Amaze 1.2L I-VTEC S
688,Tata,Tiago XZ PETROL,Manual,2017.0,Petrol,1199.0,73180.0,1st owner,387000,7560.0,True,No,UP16,2017 Tata Tiago XZ PETROL
689,Maruti,Swift VXI,Manual,2021.0,Petrol,1197.0,52266.0,1st owner,584000,11413.0,True,No,UP16,2021 Maruti Swift VXI
690,Hyundai,NEW I20 SPORTZ 1.2 MT,Manual,2021.0,Petrol,1197.0,44186.0,1st owner,709000,13856.0,True,Yes,DL7C,2021 Hyundai NEW I20 SPORTZ 1.2 MT
691,Honda,City 1.5L I-VTEC V MT,Manual,2016.0,CNG,1497.0,71930.0,2nd owner,570000,12677.0,True,No,HR29,2016 Honda City 1.5L I-VTEC V MT
692,Maruti,Alto K10 VXI,Manual,2023.0,Petrol,998.0,7540.0,1st owner,466000,9119.0,True,Yes,UP16,2023 Maruti Alto K10 VXI
693,Maruti,Eeco 5 STR AC CNG,Manual,2023.0,CNG,1197.0,28162.0,1st owner,614000,12004.0,True,No,UP14,2023 Maruti Eeco 5 STR AC CNG
694,Honda,WR-V 1.2L I-VTEC VX MT,Manual,2019.0,Petrol,1199.0,79639.0,1st owner,694000,13573.0,True,No,DL10,2019 Honda WR-V 1.2L I-VTEC VX MT
695,Tata,NEXON XM PETROL,Manual,2018.0,Petrol,1198.0,36153.0,2nd owner,548000,10712.0,True,No,DL10,2018 Tata NEXON XM PETROL
696,MG,HECTOR SAVVY PRO 1.5 TURBO CVT PETROL,Automatic,2023.0,Petrol,1451.0,30857.0,1st owner,2004000,38144.0,True,No,UP16,2023 MG HECTOR SAVVY PRO 1.5 TURBO CVT PETROL
697,Ford,Ecosport TITANIUM 1.5L DIESEL,Manual,2021.0,Diesel,1498.0,24617.0,1st owner,873000,16617.0,True,No,UP16,2021 Ford Ecosport TITANIUM 1.5L DIESEL
698,Tata,Safari XZA,Automatic,2022.0,Diesel,1956.0,44610.0,1st owner,1655000,31501.0,True,No,UP16,2022 Tata Safari XZA
699,Nissan,Micra XL PETROL,Manual,2012.0,Petrol,1198.0,86119.0,1st owner,184000,6102.0,True,Yes,DL1C,2012 Nissan Micra XL PETROL
700,Mahindra,XUV300 W8 (O) 1.5 DIESEL,Manual,2023.0,Diesel,1497.0,6428.0,1st owner,1400000,26648.0,True,Yes,UP16,2023 Mahindra XUV300 W8 (O) 1.5 DIESEL
701,Hyundai,Eon ERA +,Manual,2014.0,Petrol,814.0,43937.0,1st owner,218000,4851.0,True,Yes,DL2C,2014 Hyundai Eon ERA +
702,Honda,City 1.5L I-VTEC V CVT 5TH GEN,Automatic,2022.0,Petrol,1498.0,9308.0,1st owner,1144000,21775.0,True,Yes,UP16,2022 Honda City 1.5L I-VTEC V CVT 5TH GEN
703,Hyundai,Creta E PLUS 1.6 PETROL,Manual,2017.0,Petrol,1591.0,31841.0,1st owner,771000,15081.0,True,No,UP16,2017 Hyundai Creta E PLUS 1.6 PETROL
704,Honda,Amaze 1.2L I-VTEC V CVT,Automatic,2019.0,Petrol,1498.0,49976.0,1st owner,660000,12895.0,True,Yes,UP16,2019 Honda Amaze 1.2L I-VTEC V CVT
705,Hyundai,Verna FLUIDIC 1.6 VTVT SX OPT,Manual,2013.0,Petrol,1591.0,77451.0,2nd owner,387000,10190.0,True,Yes,DL12,2013 Hyundai Verna FLUIDIC 1.6 VTVT SX OPT
706,Hyundai,Creta E PLUS 1.6 PETROL,Manual,2017.0,Petrol,1591.0,53041.0,2nd owner,701000,13707.0,True,No,DL1C,2017 Hyundai Creta E PLUS 1.6 PETROL
